date,yearly_launches
1957-12-31,2
1958-12-31,6
1959-12-31,6
1960-12-31,58
1961-12-31,53
1962-12-31,62
1963-12-31,57
1964-12-31,71
1965-12-31,117
1966-12-31,119
1967-12-31,87
1968-12-31,115
1969-12-31,113
1970-12-31,131
1971-12-31,127
1972-12-31,147
1973-12-31,129
1974-12-31,131
1975-12-31,114
1976-12-31,123
1977-12-31,107
1978-12-31,122
1979-12-31,130
1980-12-31,142
1981-12-31,128
1982-12-31,165
1983-12-31,137
1984-12-31,126
1985-12-31,137
1986-12-31,139
1987-12-31,151
1988-12-31,162
1989-12-31,153
1990-12-31,115
1991-12-31,91
1992-12-31,118
1993-12-31,105
1994-12-31,112
1995-12-31,80
1996-12-31,110
1997-12-31,94
1998-12-31,93
1999-12-31,117
2000-12-31,65
2001-12-31,64
2002-12-31,64
2003-12-31,61
2004-12-31,60
2005-12-31,105
2006-12-31,77
2007-12-31,68
2008-12-31,76
2009-12-31,65
2010-12-31,107
2011-12-31,105
2012-12-31,88
2013-12-31,121
2014-12-31,100
2015-12-31,105
2016-12-31,118
2017-12-31,98
2018-12-31,130
2019-12-31,123
2020-12-31,176
2021-12-31,191
2022-12-31,219
2023-12-31,247
2024-12-31,265
